Serial,Episode_Title,Image_URL,Description,Mode,Video_URL,Number,year,airdate,runtime,Visibility,Linked Series,Linked Episode
Doctor Who Confidential – Series 3,The Saxon Mystery,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk5jb.jpg,"It's back to earth with a bump for the Doctor and his companions as they come face to face with the infamous Mr Saxon, brought to life by actor John Simm. The team use a number of locations to bring his story to life and Simm discusses how he prepared for the role. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007rcmd/doctor-who-confidential-series-3-12-the-saxon-mystery,1138,2007,2007-06-23,,Shown,Series_3,The Sound of Drums
Doctor Who Confidential – Series 3,The Valiant Quest,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk5pf.jpg,"Two enemies square up for a battle of valiant proportions in the series finale, and there are interviews with David Tennant, John Simm, Freema Agyeman, Russell T Davies, Julie Gardner and Phil Collinson. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007rr78/doctor-who-confidential-series-3-13-the-valiant-quest,1139,2007,2007-06-30,,Shown,Series_3,Last of the Time Lords
Doctor Who Confidential – Series 3,Children in Need Special,https://tardis.wiki/images/Tardis_images/7/74/DWCON_Time_Crash_Peter_Davison.jpg,An untitled mini edition of confidential released as part of Children in Need 2007 covering the making of Time Crash. 1 Minute has been edited out.,Youtube,P9falZ9KyQQ,1140,2007,2007-11-10,6,Shown,Series_3,Time Crash
Doctor Who Confidential – Series 3,Kylie Special,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g477v.jpg,"Follow the production team, writers and cast as they tackle the Titanic and invite Kylie Minogue aboard the TARDIS for the festive season as the Doctor's special companion, Astrid. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b008l79h/doctor-who-confidential-kylie-special,1141,2007,2007-12-25,,Shown,Series_3,Voyage of the Damned
Doctor Who Confidential – Series 4,A Noble Return,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3f78.jpg,"Catherine Tate returns as the unstoppable Donna Noble. In her search for The Doctor, Donna finds herself face-to-face with the mighty Miss Foster and a larger-than-life threat against mankind. With the tension rising, the programme gets up close and personal with the Doctor's latest companion from her first days on set through to her battle against an army of sinister Adipose. Features interviews with Tate, David Tennant and Sarah Lancashire.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009v6v3/doctor-who-confidential-series-4-1-a-noble-return,1142,2008,2008-04-05,,Shown,Series_4,Partners in Crime
Doctor Who Confidential – Series 4,The Italian Job,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3fd0.jpg,"There's a trip to Rome to witness the making of the Doctor's latest volcanic voyage. Filming at the famous Cinecitta Studios, the production team face an Italian job of colossal proportions, while David Tennant heads up Pompeii and climbs Mount Vesuvius. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009yy2z/doctor-who-confidential-series-4-2-the-italian-job,1143,2008,2008-04-12,,Shown,Series_4,The Fires of Pompeii
Doctor Who Confidential – Series 4,Oods and Ends,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3fhz.jpg,"There's a trip to the Ood Sphere to witness the return of the mysterious Ood to the world of the Doctor, and a look at the various methods which go into making an Ood. Plus, how a quarry in Wales in the middle of summer gets turned into a winter wonderland, and David Tennant gets turned into an all-action hero to escape a mechanical menace. Featuring interviews with Tennant, Catherine Tate, and writer Russell T Davies. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b00b0gwy/doctor-who-confidential-series-4-3-oods-and-ends,1144,2008,2008-04-19,,Shown,Series_4,Planet of the Ood
Doctor Who Confidential – Series 4,Send in the Clones,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3lls.jpg,"Former companion Martha Jones is back and the Earth is under threat from an arch-enemy. From location, there's all the backstage action from the Doctor's latest gripping adventure. As confusion abounds, the Time Lord, Donna and Martha join forces in a battle to save the human race. Featuring interviews with David Tennant, Catherine Tate, Freema Agyeman and Russell T Davies. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b00b3z4s/doctor-who-confidential-series-4-4-send-in-the-clones,1145,2008,2008-04-26,,Shown,Series_4,The Sontaran Stratagem
Doctor Who Confidential – Series 4,Sontar-Ha!,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3mt0.jpg,"The Sontarans are back and, with their invasion plans threatening the Earth, the Doctor is forced to face his enemy one more time. Features in-depth interviews with David Tennant, Colin Baker and Elisabeth Sladen on their experiences with the Sontarans, and Chris Ryan on life behind the prosthetics and playing General Stahl. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b00b6kkh/doctor-who-confidential-series-4-5-sontarha,1146,2008,2008-05-03,,Shown,Series_4,The Poison Sky
Doctor Who Confidential – Series 4,Sins of the Fathers,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g3n9m.jpg,"There's a new kid on the block and the Doctor isn't impressed, as his daughter Jenny bounds into view, and a look back through the Doctor's generation time line to find out why two Doctors can sometimes be better than one. Featuring interviews with David Tennant, Peter Davison, Georgia Moffett and Russell T Davies. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b00bbtdb/doctor-who-confidential-series-4-6-sins-of-the-fathers,1147,2008,2008-05-10,,Shown,Series_4,The Doctor’s Daughter
